0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:44 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:44 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:44 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:47 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:47 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [18/Nov/2024:19:13:52 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar?valorBusca= HTTP/1.1" 200 218
